OBJECTID,aland10,awater10,classfp10,funcstat10,geoid10,intptlat10,intptlon10,mtfcc10,partflg10,statefp10,zcta5ce10,Town,State,LookUp_Zip,Fall17,Fall18,Fall19,Fall20,Fall21,Fall22,Shape__Area,Shape__Length,Sum1722,Shape_Length,Shape_Area
36,43790996.000000000000000,933957.000000000000000,B5,S,0906073,+41.6644423,-072.5550402,G6350,N,09,06073,South Glastonbury,Connecticut,06073,6.000000000000000,4.000000000000000,4.000000000000000,5.000000000000000,5.000000000000000,3.000000000000000,80193244.332031294703484,55695.575070278602652,27,55695.575102899376361,80193244.473269075155258
37,27027751.000000000000000,327214.000000000000000,B5,S,0906042,+41.8027782,-072.5209873,G6350,N,09,06042,Manchester,Connecticut,06042,57.000000000000000,57.000000000000000,48.000000000000000,43.000000000000000,41.000000000000000,33.000000000000000,49256693.238281302154064,36815.375623220097623,279,36815.375477431269246,49256693.376819476485252
38,30071926.000000000000000,1290030.000000000000000,B5,S,0906416,+41.6165508,-072.6616042,G6350,N,09,06416,Cromwell,Connecticut,06416,33.000000000000000,38.000000000000000,39.000000000000000,35.000000000000000,29.000000000000000,28.000000000000000,56153022.417968802154064,38659.158226919098524,202,38659.158203258295543,56153022.373090863227844
39,7065436.000000000000000,13593.000000000000000,B5,S,0906112,+41.7933364,-072.6958230,G6350,N,09,06112,Hartford,Connecticut,06112,34.000000000000000,40.000000000000000,30.000000000000000,32.000000000000000,32.000000000000000,22.000000000000000,12745124.355468800291419,17441.278608157299459,190,17441.278577781293279,12745124.349236272275448
40,72031677.000000000000000,1803988.000000000000000,B5,S,0906489,+41.6143979,-072.8695674,G6350,N,09,06489,Southington,Connecticut,06489,39.000000000000000,33.000000000000000,28.000000000000000,36.000000000000000,34.000000000000000,37.000000000000000,132198126.230469003319740,68547.115510403105873,207,68547.115006096486468,132198126.296240553259850
41,25732555.000000000000000,666960.000000000000000,B5,S,0906117,+41.7851600,-072.7635638,G6350,N,09,06117,West Hartford,Connecticut,06117,16.000000000000000,16.000000000000000,11.000000000000000,9.000000000000000,8.000000000000000,7.000000000000000,47520679.718750000000000,39605.309062891101348,67,39605.309417387383291,47520679.599603742361069
42,10951801.000000000000000,254096.000000000000000,B5,S,0906106,+41.7485873,-072.6960065,G6350,N,09,06106,Hartford,Connecticut,06106,23.000000000000000,21.000000000000000,25.000000000000000,24.000000000000000,27.000000000000000,22.000000000000000,20147453.761718798428774,31409.782794197399198,142,31409.783534802059876,20147453.768633343279362
43,38846825.000000000000000,169595.000000000000000,B5,S,0906016,+41.9018988,-072.5474318,G6350,N,09,06016,Broad Brook,Connecticut,06016,12.000000000000000,8.000000000000000,4.000000000000000,6.000000000000000,7.000000000000000,10.000000000000000,70487930.910156294703484,42727.021477778296685,47,42727.021181388015975,70487931.069453492760658
44,43268546.000000000000000,142619.000000000000000,B5,S,0906093,+42.0132101,-072.7173708,G6350,N,09,06093,West Suffield,Connecticut,06093,6.000000000000000,5.000000000000000,7.000000000000000,8.000000000000000,4.000000000000000,1.000000000000000,78669118.281250000000000,52704.799356559902662,31,52704.799199745633814,78669118.191196545958519
45,22356020.000000000000000,39765.000000000000000,B5,S,0906092,+41.8734524,-072.8605236,G6350,N,09,06092,West Simsbury,Connecticut,06092,6.000000000000000,6.000000000000000,6.000000000000000,5.000000000000000,2.000000000000000,2.000000000000000,40421971.339843802154064,48961.977997483896615,27,48961.977971782253007,40421971.164222121238708
46,34846672.000000000000000,997338.000000000000000,B5,S,0906067,+41.6566243,-072.6617787,G6350,N,09,06067,Rocky Hill,Connecticut,06067,21.000000000000000,23.000000000000000,15.000000000000000,17.000000000000000,20.000000000000000,21.000000000000000,64263334.761718802154064,37641.129441857199708,117,37641.129267326774425,64263334.652075067162514
47,36345690.000000000000000,380875.000000000000000,B5,S,0906450,+41.5358117,-072.7756859,G6350,N,09,06450,Meriden,Connecticut,06450,16.000000000000000,20.000000000000000,21.000000000000000,20.000000000000000,21.000000000000000,19.000000000000000,65594696.863281302154064,34373.332591585298360,117,34373.332753400885849,65594696.976308979094028
48,37326699.000000000000000,766251.000000000000000,B5,S,0906043,+41.7645883,-072.4375755,G6350,N,09,06043,Bolton,Connecticut,06043,26.000000000000000,28.000000000000000,29.000000000000000,26.000000000000000,21.000000000000000,14.000000000000000,68526233.375000000000000,34669.350131190301909,144,34669.350202850109781,68526233.445875793695450
49,8639056.000000000000000,0.000000000000000,B5,S,0906110,+41.7326835,-072.7336019,G6350,N,09,06110,West Hartford,Connecticut,06110,6.000000000000000,12.000000000000000,11.000000000000000,11.000000000000000,11.000000000000000,11.000000000000000,15524792.359375000000000,19999.568981015199824,62,19999.569024559601530,15524792.371679373085499
50,68381017.000000000000000,1046767.000000000000000,B5,S,0906010,+41.6815776,-072.9407487,G6350,N,09,06010,Bristol,Connecticut,06010,46.000000000000000,42.000000000000000,34.000000000000000,32.000000000000000,33.000000000000000,29.000000000000000,124566380.800780996680260,46487.061714199197013,216,46487.061659444458201,124566380.874916538596153
51,39708852.000000000000000,373679.000000000000000,B5,S,0906035,+41.9606816,-072.8038465,G6350,N,09,06035,Granby,Connecticut,06035,11.000000000000000,9.000000000000000,8.000000000000000,8.000000000000000,6.000000000000000,9.000000000000000,72541181.101562500000000,44028.003359230897331,51,44028.003302876371890,72541181.053411915898323
52,60479195.000000000000000,444481.000000000000000,B5,S,0906447,+41.6364390,-072.4540018,G6350,N,09,06447,Marlborough,Connecticut,06447,26.000000000000000,29.000000000000000,25.000000000000000,50.000000000000000,42.000000000000000,43.000000000000000,109146543.742188006639481,43135.148601499196957,215,43135.148847919190302,109146543.828572914004326
